Rating Criteria,Description
Assemble with Accuracy,"Assemble and label every sandwich with precision—fillets facing down, folds tight, accurate labels, and placed in the correct chute."
Stock & Support the Line,Use the Lean Entrée iPad and KPS when stocking chutes to prevent overstocking or understocking and ensure al necessary prep items are available.
Check Quality & Temp Everything,Don’t just assemble and go—verify standards every time. Be the gatekeeper of quality.
Flow & Rotate,Keep strong communication and adherence to systems to eliminate any breaks in the flow.
Protect the Zone,"Follow the Food Safety 5—no shortcuts, no mess. Keep everything clean, labeled, covered, and fully compliant."
Drop with Purpose,"Follow the Lean iPad and Kanban visual cues to drop exactly what’s needed—no more, no less"
Bread with Precision,"Grip by the tips, milk wash thoroughly, drip with care, and press with full-body weight to maximize filet size"
Load with Discipline,"Line baskets and grill precisely—tips in, spaced evenly, no overlap, no contact"
Clean as You Go,"Sift the coater, wipe down constantly, maintain a spotless breading zone, and re-work & sift coater to minimize waste"
Drop with Timing,"Drop fries proactively or on request using business cues, chute flow, and bagger communication"
Fry & Finish Right,"Cook to golden crispness, shake thoroughly, salt evenly, and never serve soggy fries"
Stage for Quality & Speed,"Stage fries correctly in chutes following screen, ensuring freshness"
Watch & Rotate,"Monitor hold times, discard expired fries, and rotate pans to maintain <5 min quality standard"
Drop with Discipline,"Use the correct tiered drop method. Lower, lift, lower again— every time. Stir the nuggets and drain for 10 seconds"
Set & Secure,"Set timers for each batch, lock lids, and complete filter lockouts with urgency and accuracy"
Call the Drops,"You’re the shot caller—communicate drop order, batch size, and any adjustments clearly to the Breaders and Boards team"
Lead the Zone,Own positional excellence and ensure smooth shift execution
Engage the team,"Coach, celebrate, and challenge team members daily (PEAs)"
Champion the Guest Experience,Execute operational excellence and 2 mile service so every guest feels valued
Hold the Standards,"Hold team members accountable to PEC standards, systems, and 3H values"
Lead Yourself First,"Demonstrate discipline, humility, and growth before leading others"
Smile & Shine,"Wave high, greet warmly, and set the tone with joy. Use the Core 4 for every guest interaction—it’s their first impression of us."
Catch Every Detail,"Get names, cars, plates, and lanes right—every time"
"Lead, Offer, Repeat","Lead the guest in the ordering (actively using the guest name), offer to scan the app, offer seasonal items & ask to make EVERY order large, & repeat it back line by line"
Close Gaps & Call It Out,"Keep the line tight, speak loud & clear, help the team flow"
Friendly Farewell,Ask if there’s anything else you can do to serve our guests (PPG) and send them off with a warm “See you again soon.” This is the most impressionable role in the entire guest experience—make it count!
Greet & Seat,"Give clear direction about tableside, offer a menu, seat guests with care, guide them to a table as needed"
Welcoming Environment & PPG,"Clean as a secondary priority to serving guests, upkeep guestready: tables, floors, trash, glass, restrooms, playscape, & RESTOCK"
Grab & Go,"Hustle out ready-to-go orders and deliver with urgency. Prioritize Carry-out and Mobile first, then Dine-In, followed by Third-Party. Stay efficient."
Match & Hand-Off,"Match food and drinks, confirm names, and repeat part of the order to ensure accuracy. Own the moment—this is more than a handoff, it’s a chance to connect. PPG."
Add Value Always,"Ask, “Where can I add the most value right now?” Step in to support Host, Bagging, and Drinks. Stay engaged and guest-focused, especially between waves."
Bump & Bag,"Only bump ready to bag orders while prioritizing mobile thru, then bag it with hustle & precision for accuracy"
Pull & Organize,"Pull entrees from the chute, slide specials to Dine-In side, place specials in organized rows"
Flow & Go,"Stay in motion, no frozen bodies, no wasted time, keep movement in the assembly line, step back if not in motion"
Print & Stage,"Print receipts from master KPS, stage food with paired drink in the landing zone, & Call GOOD order to notify OMD"
Echo Holds,"Echo holds from BOH to OMD, call to park big & special orders"
Scoop & Serve,"Follow recipes with hustle & precision for accuracy, “ice it right”"
Clean & Crisp,"No drips, no puddles, no mess—every cup should shine"
Lid & Label,"Punch lid, label on lid, place it with purpose on the drinks staging zone"
Slide & Organize,"Keep drinks in order, use carriers as needed, slide beverages down to keep drink order paired correctly"
Communicate & Team Up,"Communicate needs, call for boost, leverage drinks 2 to clear wave"
Supply & Boost,"Keep cups, lids, ice, teas full for all drink zones, boost drinks 1/3 as needed, restock to meet demand"
Prep & Pour,"Stay ahead with lemonades, waters, & special drinks"
Dessert & Deliver,"KPS bump to label dessert, prepare all desserts, communicate with drinks 1 and 3 before making drinks"
Clean & Clear,"Wipe, dry, squeegee floors, cockpit shines because of you"
Prioritize & Respond,"Assess your zone and proactively make decisions, shift fast when a wave comes, hurricane drinks as needed"